amount,Type,date,TimeSeries,CommPCA,CommAutoEncoder,InOutFlowAutoEncoder,InOutFlowPCA,Comm,city
2177632.0,,2018-01-10,False,False,False,False,False,False,Taipei
2182447.0,,2018-01-11,False,False,False,False,False,False,Taipei
2364811.0,,2018-01-12,False,False,False,False,False,False,Taipei
1930661.0,,2018-01-13,False,False,False,False,False,False,Taipei
1642983.0,,2018-01-14,False,False,False,False,False,True,Taipei
2093015.0,,2018-01-15,False,False,False,False,False,False,Taipei
2125305.0,,2018-01-16,False,False,False,False,False,False,Taipei
2141075.0,,2018-01-17,False,False,False,False,False,False,Taipei
2171228.0,,2018-01-18,False,False,False,False,False,False,Taipei
2436177.0,,2018-01-19,False,False,False,True,False,True,Taipei
1944338.0,,2018-01-20,False,False,False,False,False,False,Taipei
1663166.0,,2018-01-21,False,False,False,False,False,False,Taipei
2080574.0,,2018-01-22,False,False,False,False,False,False,Taipei
2134817.0,,2018-01-23,False,False,False,False,False,False,Taipei
2185452.0,,2018-01-24,False,False,False,False,False,False,Taipei
2203663.0,,2018-01-25,False,False,False,False,False,True,Taipei
2397134.0,,2018-01-26,False,False,False,True,False,True,Taipei
2105904.0,,2018-01-27,False,True,True,True,True,True,Taipei
1688931.0,,2018-01-28,False,False,True,True,True,True,Taipei
2150714.0,,2018-01-29,False,False,False,True,False,False,Taipei
2168182.0,,2018-01-30,False,False,False,False,False,False,Taipei
2191859.0,,2018-01-31,False,False,False,False,False,False,Taipei
2193056.0,,2018-02-01,False,False,False,True,False,True,Taipei
2337039.0,,2018-02-02,False,False,False,True,False,True,Taipei
1832740.0,,2018-02-03,False,True,False,True,True,False,Taipei
1566358.0,,2018-02-04,False,True,False,True,True,True,Taipei
2146219.0,,2018-02-05,False,False,False,False,False,False,Taipei
2222891.0,,2018-02-06,False,False,False,False,False,False,Taipei
2229789.0,,2018-02-07,False,False,False,False,False,False,Taipei
2296853.0,,2018-02-08,False,False,False,False,False,False,Taipei
2448571.0,,2018-02-09,False,False,False,True,False,True,Taipei
1983158.0,,2018-02-10,False,True,True,True,True,True,Taipei
1744779.0,,2018-02-11,False,True,True,True,True,True,Taipei
2228577.0,,2018-02-12,False,False,False,False,False,False,Taipei
2192695.0,,2018-02-13,False,True,False,False,True,True,Taipei
1986361.0,,2018-02-14,False,True,True,True,True,True,Taipei
828217.0,National Holiday,2018-02-15,True,True,True,True,True,True,Taipei
